R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Alexander Volkanovski,Brian Ortega,-180,+155,55.55555555555556,+155,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,True,Featherweight,MALE,5,0,1,0,4.15,0.38,1.2,0.87,0.24,6,1,25,1,0,0,1,3,3,0,7,Switch,172.72,175.26,145,0,9,0,6.42,0.56,0.3,1.77,0.34,9,0,28,2,0,1,5,3,0,0,9,Orthodox,167.64,180.34,145,32,30,0,-8,-3,-2,1,-3,-1,0,3,5.079999999999984,-5.0800000000000125,-2,-2.27,0.8999999999999999,-0.9,1,1,2.0,0.0,,,,,,,,,,0.0,,,4.0,,,,,,,,,,2.0,,,,Red,U-DEC,,5,5:00,1500,+140,+500,+1600,+400,+250,+700
Valentina Shevchenko,Lauren Murphy,-1375,+800,7.2727272727272725,+800,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,True,Women's Flyweight,FEMALE,5,0,5,0,3.58,0.38,0.1,1.03,0.34,5,4,32,0,0,3,1,2,1,0,7,Orthodox,165.1,170.18,125,0,7,0,3.21,0.52,0.3,2.62,0.64,7,2,42,7,0,1,4,3,2,0,10,Southpaw,165.1,167.64,125,33,38,0,-2,-2,-3,2,-10,-7,-1,-1,0.0,2.539999999999992,5,0.3700000000000001,-0.1999999999999999,-1.59,1,1,3.0,0.0,0.0,,,,,,,,,,,,2.0,3.0,,,,,,,,,,,,13.0,Red,KO/TKO,Punches,4,4:00,1140,+200,+1800,+350,+2800,-110,+2500
Nick Diaz,Robbie Lawler,+140,-160,+140,62.5,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,4,0,0,3.73,0.46,0.0,0.66,0.64,5,14,91,5,0,3,4,12,0,0,19,Southpaw,180.34,187.96,170,2,0,0,5.71,0.42,1.0,1.28,0.32,11,7,70,2,0,1,2,10,6,0,19,Southpaw,185.42,193.04,170,38,39,2,0,-6,0,7,21,3,2,-6,-5.0800000000000125,-5.079999999999984,1,-1.98,-1.0,-0.62,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3,0:44,644,+275,+225,+800,+2500,+650,+185
Curtis Blaydes,Jairzinho Rozenstruik,-380,+290,26.31578947368421,+290,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Heavyweight,MALE,3,0,1,0,2.8,0.46,0.0,0.0,0.0,4,2,18,0,0,0,0,6,0,0,6,Orthodox,187.96,198.12,242,1,0,0,3.44,0.51,0.0,6.27,0.53,5,3,32,0,0,0,4,5,0,0,9,Orthodox,193.04,203.2,265,30,33,-1,1,-1,-3,-1,-14,0,1,0,-5.079999999999984,-5.079999999999984,3,-0.6400000000000001,0.0,-6.27,1,1,6.0,4.0,,,,,4.0,,,,,,,,,,,,,6.0,,,,,,,,,Red,U-DEC,,3,5:00,900,+180,+1000,+1000,+3500,+125,+380
Jessica Andrade,Cynthia Calvillo,-220,+180,45.45454545454545,+180,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Women's Flyweight,FEMALE,3,1,0,1,4.24,0.41,1.1,1.77,0.44,3,2,25,0,0,0,3,0,3,0,6,Orthodox,162.56,162.56,125,1,0,0,6.24,0.5,0.4,2.9,0.55,4,7,42,4,0,1,5,4,2,0,12,Orthodox,154.94,157.48,125,30,34,0,0,-1,-6,-5,-17,-4,-4,1,7.620000000000003,5.0800000000000125,4,-2.0,0.7000000000000001,-1.13,1,1,5.0,1.0,1.0,,,,,,,,,,,,6.0,5.0,,,,,,,,,,,,,Red,KO/TKO,Punches,1,4:54,294,+140,+330,+1000,+900,+225,+1400
Marlon Moraes,Merab Dvalishvili,+245,-310,+245,32.25806451612903,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Bantamweight,MALE,3,0,6,0,4.26,0.41,0.3,7.3,0.45,6,2,24,0,0,0,6,0,0,0,6,Orthodox,167.64,172.72,135,2,0,0,3.34,0.4,0.4,0.89,0.41,4,4,18,1,0,2,0,2,1,0,5,Orthodox,167.64,170.18,135,33,30,-2,6,2,1,-2,6,-1,-2,-1,0.0,2.539999999999992,-3,0.92,-0.1,6.41,1,1,11.0,6.0,,,,,,,,,,,6.0,,,,,,,,,,,,,11.0,,,Red,KO/TKO,Punches,2,4:25,565,+500,+100,+1200,+550,+600,+400
Dan Hooker,Nasrat Haqparast,-150,+130,66.66666666666666,+130,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Lightweight,MALE,3,0,2,0,5.19,0.46,0.0,0.16,0.14,3,2,18,0,0,0,4,1,0,0,5,Southpaw,177.8,182.88,155,2,0,0,4.95,0.48,0.2,0.91,0.36,4,6,38,0,0,1,1,6,2,0,10,Switch,182.88,190.5,155,31,26,-2,2,-1,-5,-4,-20,0,-5,-2,-5.079999999999984,-7.620000000000003,-5,0.2400000000000002,-0.2,-0.75,1,1,,8.0,,,,,,,,,8.0,,,,,,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,+225,+350,+900,+2200,+225,+350
Shamil Abdurakhimov,Chris Daukaus,+180,-220,+180,45.45454545454545,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Heavyweight,MALE,3,0,3,0,9.03,0.53,0.0,0.0,0.0,3,0,3,0,0,0,0,3,0,0,3,Orthodox,190.5,193.04,250,1,0,0,2.53,0.43,0.2,1.14,0.24,3,3,19,0,0,1,2,2,0,0,5,Orthodox,190.5,193.04,235,40,32,-1,3,0,-2,-3,-16,0,1,0,0.0,0.0,-8,6.5,-0.2,-1.14,1,1,10.0,7.0,,,,,7.0,,,,,,,,,,,,,10.0,,,,,,,,,Red,KO/TKO,Punch,2,1:23,383,+400,+350,+1800,+1400,+450,+100
Roxanne Modafferi,Taila Santos,+300,-400,+300,25.0,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Women's Flyweight,FEMALE,3,0,2,0,3.55,0.5,0.8,2.6,0.86,2,1,12,0,0,0,3,0,0,0,3,Orthodox,167.64,172.72,125,1,0,0,2.97,0.3,0.1,1.3,0.21,1,8,35,1,0,1,2,1,0,0,4,Orthodox,170.18,175.26,125,39,28,-1,2,1,-1,-7,-23,-1,-1,0,-2.539999999999992,-2.539999999999992,-11,0.5799999999999996,0.7000000000000001,1.3,1,1,12.0,9.0,9.0,,,,,,,,,,,,,12.0,,,,,,,,,,,,,Red,U-DEC,,3,5:00,900,+550,-165,+1100,+1100,+2200,+350
Uros Medic,Jalin Turner,-115,-105,86.95652173913044,95.23809523809523,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Lightweight,MALE,3,0,2,0,6.2,0.47,1.9,0.98,0.75,2,2,10,0,0,0,0,3,1,0,4,Southpaw,190.5,195.58,155,0,2,0,10.53,0.75,0.0,0.0,0.0,2,0,2,0,0,0,0,2,0,0,2,Southpaw,185.42,180.34,155,28,26,0,0,0,2,2,8,0,1,1,5.079999999999984,15.240000000000007,-2,-4.329999999999999,1.9,0.98,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1,4:01,241,+400,+400,+1200,+700,+165,+300
Cody Brundage,Nick Maximov,+125,-145,+125,68.96551724137932,2021-09-25,"Las Vegas, Nevada, USA",USA,Blue,False,Middleweight,MALE,3,0,1,0,1.7,0.49,0.0,3.0,0.3,1,0,3,0,0,0,1,0,0,0,1,Southpaw,182.88,193.04,185,1,0,0,2.7,0.61,0.9,0.86,0.25,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,182.88,185,27,23,-1,1,1,1,-1,2,0,0,0,0.0,10.159999999999997,-4,-1.0000000000000002,-0.9,2.14,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,U-DEC,,3,5:00,900,+350,+300,+500,+250,+400,+500
Matthew Semelsberger,Martin Sano,-525,+385,19.047619047619047,+385,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Welterweight,MALE,3,0,0,0,4.0,0.33,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,190.5,170,1,0,0,6.16,0.48,0.5,0.98,1.0,2,1,7,0,0,0,1,1,0,0,2,Switch,185.42,190.5,170,28,30,-1,0,-2,-2,-1,-7,0,-1,0,-5.0800000000000125,0.0,2,-2.16,-0.5,-0.98,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1,0:15,15,+300,,+500,,-135,
Jonathan Pearce,Omar Morales,+140,-160,+140,62.5,2021-09-25,"Las Vegas, Nevada, USA",USA,Red,False,Featherweight,MALE,3,0,1,0,3.4,0.38,0.0,0.6,1.0,3,1,14,0,0,0,3,1,0,0,4,Orthodox,180.34,185.42,145,0,1,0,6.79,0.53,1.0,7.17,0.57,1,1,6,0,0,0,0,2,0,0,2,Switch,182.88,180.34,145,29,35,0,0,2,2,0,8,0,-1,0,-2.539999999999992,5.0800000000000125,6,-3.39,-1.0,-6.57,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2,3:31,511,+330,+165,+1100,+1100,+400,+330
