R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,B_current_lose_streak,B_current_win_streak,B_draw,B_avg_SIG_STR_landed,B_avg_SIG_STR_pct,B_avg_SUB_ATT,B_avg_TD_landed,B_avg_TD_pct,B_longest_win_streak,B_losses,B_total_rounds_fought,B_total_title_bouts,B_win_by_Decision_Majority,B_win_by_Decision_Split,B_win_by_Decision_Unanimous,B_win_by_KO/TKO,B_win_by_Submission,B_win_by_TKO_Doctor_Stoppage,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_current_lose_streak,R_current_win_streak,R_draw,R_avg_SIG_STR_landed,R_avg_SIG_STR_pct,R_avg_SUB_ATT,R_avg_TD_landed,R_avg_TD_pct,R_longest_win_streak,R_losses,R_total_rounds_fought,R_total_title_bouts,R_win_by_Decision_Majority,R_win_by_Decision_Split,R_win_by_Decision_Unanimous,R_win_by_KO/TKO,R_win_by_Submission,R_win_by_TKO_Doctor_Stoppage,R_wins,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,R_age,B_age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,B_match_weightclass_rank,R_match_weightclass_rank,R_Women's Flyweight_rank,R_Women's Featherweight_rank,R_Women's Strawweight_rank,R_Women's Bantamweight_rank,R_Heavyweight_rank,R_Light Heavyweight_rank,R_Middleweight_rank,R_Welterweight_rank,R_Lightweight_rank,R_Featherweight_rank,R_Bantamweight_rank,R_Flyweight_rank,R_Pound-for-Pound_rank,B_Women's Flyweight_rank,B_Women's Featherweight_rank,B_Women's Strawweight_rank,B_Women's Bantamweight_rank,B_Heavyweight_rank,B_Light Heavyweight_rank,B_Middleweight_rank,B_Welterweight_rank,B_Lightweight_rank,B_Featherweight_rank,B_Bantamweight_rank,B_Flyweight_rank,B_Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,r_dec_odds,b_dec_odds,r_sub_odds,b_sub_odds,r_ko_odds,b_ko_odds
Thiago Santos,Johnny Walker,-170,+150,58.82352941176471,+150,2021-10-02,"Las Vegas, Nevada, USA",USA,,False,Light Heavyweight,MALE,5,0,1,0,4.41,0.72,1.2,0.4,1.0,4,2,11,0,0,0,1,4,0,0,5,Orthodox,198.12,208.28,205,3,0,0,4.27,0.48,0.1,0.7,0.38,4,8,43,1,0,0,2,11,0,0,13,Orthodox,187.96,193.04,205,37,29,-3,1,0,-8,-6,-32,-1,-7,0,10.159999999999997,15.240000000000007,-8,0.1400000000000005,1.1,-0.2999999999999999,1,1,10.0,5.0,,,,,,5.0,,,,,,,,,,,,,10.0,,,,,,,,Red,,,,,,,,,,,
Kevin Holland,Kyle Daukaus,-140,+120,71.42857142857143,+120,2021-10-02,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,3,1,0,0,3.23,0.53,1.2,1.75,0.29,1,2,12,0,0,0,2,0,0,0,2,Southpaw,190.5,193.04,185,2,0,0,3.74,0.54,0.6,0.92,0.45,5,4,36,0,0,2,2,3,2,0,9,Orthodox,190.5,205.74,185,28,28,-1,0,-4,-7,-2,-24,0,-3,-2,0.0,-12.700000000000015,0,-0.5100000000000002,0.6,0.83,1,1,,14.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,Red,,,,,,,,,,,
Alex Oliveira,Niko Price,+120,-140,+120,71.42857142857143,2021-10-02,"Las Vegas, Nevada, USA",USA,,False,Welterweight,MALE,3,2,0,0,5.29,0.41,0.9,0.75,0.2,2,5,24,0,0,0,0,4,2,0,6,Orthodox,182.88,193.04,170,2,0,0,2.86,0.5,0.6,2.37,0.37,4,8,44,0,0,1,3,4,3,0,11,Orthodox,180.34,193.04,170,33,32,0,0,-2,-5,-3,-20,0,0,-1,2.539999999999992,0.0,-1,2.43,0.3,-1.62,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Misha Cirkunov,Krzysztof Jotko,+140,-160,+140,62.5,2021-10-02,"Las Vegas, Nevada, USA",USA,,False,Middleweight,MALE,3,1,0,0,2.94,0.41,0.1,1.16,0.34,5,5,38,0,0,2,6,1,0,0,9,Southpaw,185.42,195.58,185,1,0,0,4.18,0.51,2.3,4.28,0.57,4,4,13,0,0,0,0,1,5,0,6,Orthodox,190.5,195.58,205,34,32,0,0,1,3,1,25,0,0,-5,-5.079999999999984,0.0,-2,-1.2399999999999998,-2.2,-3.12,1,1,,,,,,,,13.0,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Aspen Ladd,Macy Chiasson,-210,+175,47.61904761904761,+175,2021-10-02,"Las Vegas, Nevada, USA",USA,,False,Women's Bantamweight,FEMALE,3,0,2,0,4.16,0.49,0.5,0.98,0.21,3,1,14,0,0,0,2,2,1,0,5,Orthodox,180.34,182.88,135,0,1,0,5.22,0.55,1.2,2.45,0.75,3,1,10,0,0,0,1,3,0,0,4,Orthodox,167.64,167.64,135,26,30,0,1,0,1,0,4,0,-1,1,12.699999999999989,15.23999999999998,4,-1.0599999999999996,-0.7,-1.4700000000000002,1,1,11.0,3.0,,,,3.0,,,,,,,,,10.0,,,,11.0,,,,,,,,,,Red,,,,,,,,,,,
Alexander Hernandez,Mike Breeden,-400,+300,25.0,+300,2021-10-02,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,3,1,0,0,4.0,0.34,0.0,0.0,0.0,0,1,3,0,0,0,0,0,0,0,0,Orthodox,177.8,177.8,155,1,0,0,3.57,0.35,0.0,1.6,0.38,2,3,15,0,0,0,2,2,0,0,4,Orthodox,175.26,182.88,155,29,32,0,0,-2,-4,-2,-12,0,-2,0,2.5400000000000205,-5.079999999999984,3,0.4300000000000001,0.0,-1.6,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Joe Solecki,Jared Gordon,-135,+115,74.07407407407408,+115,2021-10-02,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,3,0,2,0,5.54,0.56,0.0,2.81,0.39,2,3,19,0,0,0,4,1,0,0,5,Orthodox,175.26,172.72,145,0,4,0,2.68,0.66,0.8,2.39,0.5,4,0,8,0,0,0,2,0,2,0,4,Orthodox,175.26,177.8,155,28,33,0,-2,-2,1,3,11,0,1,-2,0.0,-5.0800000000000125,5,2.86,-0.8,0.4199999999999999,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Antonina Shevchenko,Casey O'Neill,+175,-210,+175,47.61904761904761,2021-10-02,"Las Vegas, Nevada, USA",USA,,False,Women's Flyweight,FEMALE,3,0,2,0,5.56,0.6,2.1,3.47,0.62,2,0,5,0,0,0,0,1,1,0,2,Orthodox,167.64,175.26,125,1,0,0,3.87,0.56,0.6,0.57,0.6,2,3,17,0,0,0,1,2,1,0,4,Southpaw,172.72,170.18,125,36,23,-1,2,0,-2,-3,-12,0,-1,0,-5.079999999999984,5.079999999999984,-13,1.6899999999999995,1.5,2.9000000000000004,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
Bethe Correia,Karol Rosa,+270,-350,+270,28.57142857142857,2021-10-02,"Las Vegas, Nevada, USA",USA,,False,Women's Bantamweight,FEMALE,3,0,3,0,7.73,0.52,0.0,2.0,0.6,3,0,9,0,0,1,2,0,0,0,3,Orthodox,165.1,170.18,135,1,0,1,4.39,0.44,0.0,0.44,0.2,3,5,30,1,0,2,2,1,0,0,5,Orthodox,165.1,162.56,135,38,26,-1,3,0,-2,-5,-21,-1,-1,0,0.0,7.620000000000003,-12,3.3400000000000007,0.0,1.56,1,1,15.0,,,,,,,,,,,,,,,,,,15.0,,,,,,,,,,Blue,,,,,,,,,,,
Devonte Smith,Jamie Mullarkey,-155,+135,64.51612903225806,+135,2021-10-02,"Las Vegas, Nevada, USA",USA,,False,Lightweight,MALE,3,0,1,0,2.02,0.34,0.5,3.9,0.3,1,2,7,0,0,0,0,1,0,0,1,Orthodox,182.88,187.96,155,0,1,0,5.64,0.55,0.7,0.74,1.0,3,1,6,0,0,0,0,4,0,0,4,Orthodox,175.26,193.04,155,28,27,0,0,-2,-3,1,1,0,-3,0,7.620000000000003,-5.079999999999984,-1,-3.62,-0.1999999999999999,3.16,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neither,,,,,,,,,,,
